Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Account Management,Global Account Head,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Global Account Head,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Global Account Head,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Senior Account Manager,FTE,Hour,UK-LON,110,110,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Account Management,Senior Account Manager,FTE,Hour,EU-ES,120,120,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Account Management,Senior Account Manager,FTE,Hour,EU-FR,175,175,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Senior Account Manager,FTE,Hour,EU-DE,150,150,EUR,OP_Content Lab,Exact Rate Match,63.83,M,
Account Management,Senior Account Manager,FTE,Hour,EU-IT,127,127,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Senior Account Manager,FTE,Hour,LATAM-BR,640,640,BRL,OP_Content Lab,Exact Rate Match,272.34,L,
Account Management,Senior Account Manager,FTE,Hour,APAC-CN,710,710,CNY,OP_Content Lab,Exact Rate Match,302.13,K,
Account Management,Senior Account Manager,FTE,Hour,NA-CA,145,145,CAD,OP_Content Lab,Exact Rate Match,61.7,L,
Account Management,Senior Account Manager,FTE,Hour,EU-CH,150,150,CHF,OP_Content Lab,Exact Rate Match,63.83,M,
Account Management,Senior Account Manager,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Senior Account Manager,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Senior Account Manager,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Senior Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Group Account Director,FTE,Hour,UK-LON,220,220,GBP,OP_Content Lab,Exact Rate Match,93.62,O,
Account Management,Group Account Director,FTE,Hour,EU-ES,165,165,EUR,OP_Content Lab,Exact Rate Match,70.21,N,
Account Management,Group Account Director,FTE,Hour,EU-FR,220,220,EUR,OP_Content Lab,Exact Rate Match,93.62,N,
Account Management,Group Account Director,FTE,Hour,EU-DE,225,225,EUR,OP_Content Lab,Exact Rate Match,95.74,N,
Account Management,Group Account Director,FTE,Hour,EU-IT,175,175,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Group Account Director,FTE,Hour,LATAM-BR,875,875,BRL,OP_Content Lab,Exact Rate Match,372.34,M,
Account Management,Group Account Director,FTE,Hour,APAC-CN,1325,1325,CNY,OP_Content Lab,Exact Rate Match,563.83,N,
Account Management,Group Account Director,FTE,Hour,NA-CA,195,195,CAD,OP_Content Lab,Exact Rate Match,82.98,M,
Account Management,Group Account Director,FTE,Hour,EU-CH,225,225,CHF,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Group Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Group Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Group Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Group Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Head of Account Management,FTE,Hour,UK-LON,275,275,GBP,OP_Content Lab,Exact Rate Match,117.02,O,
Account Management,Head of Account Management,FTE,Hour,EU-ES,195,195,EUR,OP_Content Lab,Exact Rate Match,82.98,N,
Account Management,Head of Account Management,FTE,Hour,EU-FR,250,250,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,EU-DE,250,250,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,EU-IT,180,180,EUR,OP_Content Lab,Exact Rate Match,76.6,N,
Account Management,Head of Account Management,FTE,Hour,LATAM-BR,950,950,BRL,OP_Content Lab,Exact Rate Match,404.26,M,
Account Management,Head of Account Management,FTE,Hour,APAC-CN,1824,1824,CNY,OP_Content Lab,Exact Rate Match,776.17,O,
Account Management,Head of Account Management,FTE,Hour,NA-CA,220,220,CAD,OP_Content Lab,Exact Rate Match,93.62,M,
Account Management,Head of Account Management,FTE,Hour,EU-CH,250,250,CHF,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Head of Account Management,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Head of Account Management,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Head of Account Management,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Head of Account Management,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Head of Digital,FTE,Hour,UK-LON,200,200,GBP,OP_Content Lab,Exact Rate Match,85.11,N,
Account Management,Head of Digital,FTE,Hour,EU-ES,165,165,EUR,OP_Content Lab,Exact Rate Match,70.21,N,
Account Management,Head of Digital,FTE,Hour,EU-FR,220,220,EUR,OP_Content Lab,Exact Rate Match,93.62,N,
Account Management,Head of Digital,FTE,Hour,EU-DE,225,225,EUR,OP_Content Lab,Exact Rate Match,95.74,N,
Account Management,Head of Digital,FTE,Hour,EU-IT,175,175,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Head of Digital,FTE,Hour,LATAM-BR,875,875,BRL,OP_Content Lab,Exact Rate Match,372.34,M,
Account Management,Head of Digital,FTE,Hour,APAC-CN,1325,1325,CNY,OP_Content Lab,Exact Rate Match,563.83,N,
Account Management,Head of Digital,FTE,Hour,NA-CA,195,195,CAD,OP_Content Lab,Exact Rate Match,82.98,M,
Account Management,Account Manager (Regional),FTE,Hour,UK-LON,90,90,GBP,OP_JH consolidated ratecard,,38.3,L,
Account Management,Account Manager (Regional),FTE,Hour,EU-PL,56,56,EUR,OP_JH consolidated ratecard,,23.83,J,
Account Management,Project Manager,FTE,Hour,UK-LON,55,55,GBP,OP_JH consolidated ratecard,,23.4,J,
Account Management,Project Manager,FTE,Hour,EU-ES,48,56,EUR,OP_JH consolidated ratecard,,20.43,J,
Account Management,Project Manager,FTE,Hour,EU-FR,48,58,EUR,OP_JH consolidated ratecard,,20.43,J,
Account Management,Project Manager,FTE,Hour,EU-DE,48,58,EUR,OP_JH consolidated ratecard,,20.43,J,
Account Management,Project Manager,FTE,Hour,EU-IT,48,56,EUR,OP_JH consolidated ratecard,,20.43,J,
Account Management,Project Manager,FTE,Hour,EU-PL,36,44,EUR,OP_JH consolidated ratecard,,15.32,J,
Account Management,Senior Project Manager,FTE,Hour,UK-LON,64,64,GBP,OP_JH consolidated ratecard,,27.23,J,
Account Management,Senior Project Manager,FTE,Hour,EU-ES,61,70,EUR,OP_JH consolidated ratecard,,25.96,J,
Account Management,Senior Project Manager,FTE,Hour,EU-FR,61,73,EUR,OP_JH consolidated ratecard,,25.96,J,
Account Management,Senior Project Manager,FTE,Hour,EU-DE,61,73,EUR,OP_JH consolidated ratecard,,25.96,J,
Account Management,Senior Project Manager,FTE,Hour,EU-IT,61,70,EUR,OP_JH consolidated ratecard,,25.96,J,
Account Management,Senior Project Manager,FTE,Hour,EU-PL,46,55,EUR,OP_JH consolidated ratecard,,19.57,J,
Account Management,Head of Digital,FTE,Hour,EU-CH,225,225,CHF,OP_Content Lab,Exact Rate Match,95.74,O,
Account Management,Head of Digital,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Head of Digital,FTE,Hour,APAC-CN-USD,42.00,42.00,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Head of Digital,FTE,Hour,LATAM-MX,45.00,45.00,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Head of Digital,FTE,Hour,EU-PL,47.50,47.50,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,,510.64,M,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,,510.64,M,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-CHI,900.00,"1,100.00",USD,EG_APR_JH ratecard,,382.98,L,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-CHI,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,,510.64,M,
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-CHI,600.00,700.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-CHI,700.00,850.00,USD,EG_APR_JH ratecard,,297.87,K,
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-CHI,600.00,650.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-CHI,850.00,950.00,USD,EG_APR_JH ratecard,,361.7,K,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-CHI,550.00,600.00,USD,EG_APR_JH ratecard,,234.04,J,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-CHI,850.00,850.00,USD,EG_APR_JH ratecard,,361.7,K,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-CHI,700.00,750.00,USD,EG_APR_JH ratecard,,297.87,K,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-CHI,600.00,650.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-CHI,575.00,700.00,USD,EG_APR_JH ratecard,,244.68,J,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-CHI,575.00,625.00,USD,EG_APR_JH ratecard,,244.68,J,
Art Dept / Set Construction Crew,Art Coordinator,Agency,Day,US-CHI,650.00,700.00,USD,EG_APR_JH ratecard,,276.6,J,
Art Dept / Set Construction Crew,Production Assistants (P.A.'s) (Art PA),Agency,Day,US-CHI,300.00,350.00,USD,EG_APR_JH ratecard,,127.66,J,
Art Dept / Set Construction Crew,Construction Coordinator,Agency,Day,US-CHI,830.00,830.00,USD,EG_APR_JH ratecard,,353.19,K,
Art Dept / Set Construction Crew,SPFX Foreperson,Agency,Day,US-CHI,600.00,700.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Lead Effects,Agency,Day,US-CHI,700.00,800.00,USD,EG_APR_JH ratecard,,297.87,K,
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-LA,"1,400.00","1,500.00",USD,EG_APR_JH ratecard,,595.74,M,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-LA,"1,100.00","1,200.00",USD,EG_APR_JH ratecard,,468.09,M,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-LA,947.00,947.00,USD,EG_APR_JH ratecard,,402.98,L,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-LA,"1,400.00","1,500.00",USD,EG_APR_JH ratecard,,595.74,M,
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-LA,650.00,800.00,USD,EG_APR_JH ratecard,,276.6,J,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-LA,700.00,850.00,USD,EG_APR_JH ratecard,"No LA rates captured, using CHI instead",297.87,K,
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-LA,612.00,650.00,USD,EG_APR_JH ratecard,,260.43,J,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-LA,916.00,950.00,USD,EG_APR_JH ratecard,,389.79,L,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-LA,650.00,700.00,USD,EG_APR_JH ratecard,,276.6,J,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-LA,907.00,907.00,USD,EG_APR_JH ratecard,,385.96,L,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-LA,750.00,800.00,USD,EG_APR_JH ratecard,,319.15,K,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-LA,612.00,650.00,USD,EG_APR_JH ratecard,,260.43,J,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-LA,598.00,600.00,USD,EG_APR_JH ratecard,,254.47,J,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-LA,650.00,700.00,USD,EG_APR_JH ratecard,,276.6,J,
Art Dept / Set Construction Crew,Art Coordinator,Agency,Day,US-LA,650.00,750.00,USD,EG_APR_JH ratecard,,276.6,J,
Art Dept / Set Construction Crew,Production Assistants (P.A.'s) (Art PA),Agency,Day,US-LA,250.00,300.00,USD,EG_APR_JH ratecard,,106.38,J,
Art Dept / Set Construction Crew,Construction Coordinator,Agency,Day,US-LA,890.00,890.00,USD,EG_APR_JH ratecard,,378.72,L,
Art Dept / Set Construction Crew,SPFX Foreperson,Agency,Day,US-LA,600.00,700.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Lead Effects,Agency,Day,US-LA,750.00,750.00,USD,EG_APR_JH ratecard,,319.15,K,
Art Dept / Set Construction Crew,Production Designer,Agency,Day,US-NY,"1,600.00","2,000.00",USD,EG_APR_JH ratecard,,680.85,N,
Art Dept / Set Construction Crew,Art Director,Agency,Day,US-NY,"1,600.00","2,000.00",USD,EG_APR_JH ratecard,,680.85,N,
Art Dept / Set Construction Crew,Assistant Art Director,Agency,Day,US-NY,900.00,900.00,USD,EG_APR_JH ratecard,,382.98,L,
Art Dept / Set Construction Crew,Set Designer,Agency,Day,US-NY,"1,200.00","1,400.00",USD,EG_APR_JH ratecard,Using CHI rate as NYC no data,510.64,M,
Art Dept / Set Construction Crew,Leadman / Crew Manager,Agency,Day,US-NY,600.00,775.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Lead Set Dresser,Agency,Day,US-NY,725.00,850.00,USD,EG_APR_JH ratecard,,308.51,K,
Art Dept / Set Construction Crew,Set Dresser,Agency,Day,US-NY,725.00,850.00,USD,EG_APR_JH ratecard,,308.51,K,
Art Dept / Set Construction Crew,Set Decorator,Agency,Day,US-NY,750.00,950.00,USD,EG_APR_JH ratecard,,319.15,K,
Art Dept / Set Construction Crew,Assistant Set Director,Agency,Day,US-NY,600.00,775.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Lead Scenic Artist,Agency,Day,US-NY,780.00,835.00,USD,EG_APR_JH ratecard,,331.91,K,
Art Dept / Set Construction Crew,Prop Master,Agency,Day,US-NY,800.00,850.00,USD,EG_APR_JH ratecard,,340.43,K,
Art Dept / Set Construction Crew,"Prop Assistant, 2nd Prop",Agency,Day,US-NY,700.00,785.00,USD,EG_APR_JH ratecard,,297.87,K,
Art Dept / Set Construction Crew,Teamsters / Drivers,Agency,Day,US-NY,600.00,650.00,USD,EG_APR_JH ratecard,,255.32,J,
Art Dept / Set Construction Crew,Strike Crew,Agency,Day,US-NY,650.00,725.00,USD,EG_APR_JH ratecard,,276.6,J,
